"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"326,",Angelo State University,",","$43,700 ",",","$25,508 ",",1.71",
"327,",California Lutheran University (CLU),",","$41,500 ",",","$24,230 ",",1.71",
"328,",Smith College,",","$42,400 ",",","$24,758 ",",1.71",
"329,",Hofstra University,",","$47,600 ",",","$27,808 ",",1.71",
"330,","Wayne State College – Wayne, NE",",","$38,100 ",",","$22,260 ",",1.71",
"331,",DePauw University,",","$46,200 ",",","$27,005 ",",1.71",
"332,",Idaho State University (ISU),",","$45,200 ",",","$26,445 ",",1.71",
"333,",Truman State University,",","$40,300 ",",","$23,585 ",",1.71",
"334,",University of North Carolina at Charlotte (UNCC),",","$45,200 ",",","$26,488 ",",1.71",
"335,",Gonzaga University,",","$50,300 ",",","$29,513 ",",1.70",
"336,",University of Massachusetts (UMass) – Boston Campus,",","$46,300 ",",","$27,229 ",",1.70",
"337,",Worcester State University,",","$43,600 ",",","$25,654 ",",1.70",
"338,",University of North Dakota,",","$46,000 ",",","$27,088 ",",1.70",
"339,",Texas State University – San Marcos Campus,",","$44,200 ",",","$26,031 ",",1.70",
"340,",Seattle University,",","$49,300 ",",","$29,044 ",",1.70",
"341,",Franklin and Marshall College,",","$46,500 ",",","$27,474 ",",1.69",
"342,",Clarion University of Pennsylvania,",","$36,400 ",",","$21,507 ",",1.69",
"343,",University of North Carolina at Asheville (UNCA),",","$35,700 ",",","$21,105 ",",1.69",
"344,",University of Massachusetts (UMass) – Lowell Campus,",","$51,600 ",",","$30,505 ",",1.69",
"345,",Indiana State University,",","$44,400 ",",","$26,256 ",",1.69",
"346,",Southern Illinois University (SIU) – Edwardsville Campus,",","$46,800 ",",","$27,681 ",",1.69",
